iter	Logloss
0	0.6853590195
1	0.6764198417
2	0.6675263427
3	0.6596458451
4	0.6519321856
5	0.6454279072
6	0.6384501183
7	0.6316261536
8	0.6256018925
9	0.6198667351
10	0.6128420962
11	0.6075090681
12	0.6019836946
13	0.5971227455
14	0.5915567687
15	0.5859171333
16	0.5811256132
17	0.5758639012
18	0.5716190297
19	0.5668549039
20	0.562130015
21	0.5583421264
22	0.5540995974
23	0.550567627
24	0.5465247962
25	0.5428746596
26	0.5384875137
27	0.5344400955
28	0.5305300064
29	0.5278225311
30	0.5247094128
31	0.5214724022
32	0.5187392245
33	0.515916804
34	0.5130434341
35	0.5104484639
36	0.5073802436
37	0.5050648769
38	0.5025286644
39	0.4994803553
40	0.4968081151
41	0.4943932897
42	0.4921456929
43	0.4902745554
44	0.488595991
45	0.4866553593
46	0.4848883655
47	0.4830984347
48	0.4813199236
49	0.4794401319
50	0.4780155987
51	0.4771223577
52	0.4752545387
53	0.4737067965
54	0.4722301101
55	0.4704145419
56	0.468396803
57	0.4670556563
58	0.4657096619
59	0.4642660633
60	0.4629004505
61	0.461597955
62	0.4602669592
63	0.4590374066
64	0.4578076588
65	0.4565847108
66	0.4555369623
67	0.4545182023
68	0.4535621367
69	0.4523881209
70	0.4516298013
71	0.4509025525
72	0.4496607343
73	0.4487976855
74	0.4481171891
75	0.447156536
76	0.4459686605
77	0.4448358662
78	0.4439112291
79	0.4429754977
80	0.4421194764
81	0.441123328
82	0.4402805483
83	0.4394636663
84	0.4388730633
85	0.4383129779
86	0.4376981365
87	0.4370310769
88	0.436440962
89	0.4357677208
90	0.4353702114
91	0.4344101115
92	0.433881292
93	0.4332718514
94	0.4327496689
95	0.4321910476
96	0.4317485102
97	0.4311383864
98	0.4306138939
99	0.4299388633
100	0.4294155096
101	0.4289587871
102	0.4283838333
103	0.4280590066
104	0.4276526803
105	0.4272173981
106	0.4266923852
107	0.4263145268
108	0.4258892328
109	0.4254548616
110	0.4251182898
111	0.4247908602
112	0.4243873645
113	0.4238963178
114	0.4235032332
115	0.4231195836
116	0.4226891166
117	0.4222232518
118	0.4219148876
119	0.4215125956
120	0.4211369822
121	0.4207738945
122	0.4202896476
123	0.4200077342
124	0.4196031322
125	0.4193762025
126	0.4190029315
127	0.4186921272
128	0.4183771259
129	0.4181985753
130	0.4179107731
131	0.4175988626
132	0.4173150622
133	0.4170102443
134	0.416694755
135	0.4163890912
136	0.4161501236
137	0.4157567787
138	0.415451733
139	0.4151946436
140	0.4149290626
141	0.4145686103
142	0.4143095362
143	0.4140063451
144	0.4138859665
145	0.4135949759
146	0.4134289837
147	0.4132031601
