iter	Logloss
0	0.6781139296
1	0.6642028068
2	0.6504943758
3	0.6380219208
4	0.626043276
5	0.6153341323
6	0.6048614666
7	0.5961490248
8	0.586386106
9	0.5773739054
10	0.5689720799
11	0.5609474967
12	0.5534079335
13	0.5460291635
14	0.5398941951
15	0.5332260845
16	0.5279250459
17	0.522274283
18	0.5173839872
19	0.5124848772
20	0.5079821797
21	0.503376337
22	0.4992861779
23	0.495106533
24	0.4911562334
25	0.4873471118
26	0.4839703413
27	0.4808563955
28	0.4778488881
29	0.474640376
30	0.4721875598
31	0.4695315516
32	0.4670978443
33	0.4644250686
34	0.4619357077
35	0.4592836452
36	0.4569850315
37	0.4548492257
38	0.452882842
39	0.4509685868
40	0.448959017
41	0.4472552381
42	0.4456858472
43	0.443892266
44	0.4423145716
45	0.4405845271
46	0.4392376515
47	0.4377674007
48	0.4364297832
49	0.4351770483
50	0.4337104859
51	0.4326880451
52	0.4315848757
53	0.4305180145
54	0.4295594966
55	0.4284757187
56	0.4276678985
57	0.4268187759
58	0.4258184559
59	0.4248982461
60	0.4240169803
61	0.4231515245
62	0.4224141289
63	0.4215760397
64	0.4207949052
65	0.4200443873
66	0.4193245497
67	0.4184137902
68	0.4177179445
69	0.4168362894
70	0.4161509366
71	0.4154361361
72	0.4148444512
73	0.4143362459
74	0.4136622889
75	0.4129125579
76	0.4123566202
77	0.4116601962
78	0.411104227
79	0.4104985417
80	0.4100007057
81	0.4094568857
82	0.4089974743
83	0.4084625205
84	0.4081236528
85	0.4075856208
86	0.4070104058
87	0.4065128225
88	0.405947193
89	0.4055187014
90	0.4051020557
91	0.4045756654
92	0.4040976752
93	0.4036258731
94	0.4031367084
95	0.4027860689
96	0.4023717671
97	0.4019720616
98	0.4019045036
99	0.4015843418
100	0.4012182429
101	0.4008634974
102	0.4005047495
103	0.4000160104
104	0.3996788296
105	0.3992451673
106	0.3989220337
107	0.3986034955
108	0.3983574886
109	0.3979235732
110	0.3975248988
111	0.397061952
112	0.3966343021
113	0.3964127275
114	0.3961534378
115	0.3958713766
116	0.3956078686
117	0.3952792853
118	0.3950623426
119	0.3947359467
120	0.3945510775
121	0.3943103429
122	0.393915178
123	0.393578726
124	0.393338919
125	0.3930456874
126	0.3927750486
127	0.3925875075
128	0.3923068621
129	0.3920583507
130	0.3918696727
131	0.3916074356
132	0.3913707717
133	0.3910615598
134	0.3907598254
135	0.3905355909
136	0.3902616246
137	0.3899328508
138	0.3897163639
139	0.3894950217
140	0.3893365414
141	0.3891007426
142	0.3887812123
143	0.388516527
144	0.3882237261
145	0.3880553916
146	0.3877683483
147	0.3874498066
148	0.3872745312
149	0.3870881222
150	0.3869120373
151	0.386717031
152	0.3864627162
153	0.3863153771
154	0.3859818636
155	0.3858354196
156	0.3855742275
157	0.3854371006
158	0.3852199704
159	0.3850372798
160	0.3848860959
161	0.3847120329
162	0.3845646223
163	0.384333678
164	0.3841239688
165	0.3839755607
166	0.3838352411
167	0.3836536279
168	0.3835077075
169	0.3832397003
170	0.3830582018
171	0.3828798937
172	0.382592199
173	0.3824256389
174	0.3821611876
175	0.3820090169
176	0.3819882472
177	0.3817601688
178	0.3816264552
179	0.3813675587
180	0.3811449358
181	0.3810284733
182	0.3808159076
183	0.3806203792
184	0.3804528556
185	0.3802261406
186	0.3800359677
187	0.3798409427
188	0.379619896
189	0.3793649916
190	0.3791874768
191	0.3789542152
192	0.3788468102
193	0.378637036
194	0.3784859838
195	0.3782752086
196	0.3780992042
197	0.3779123352
198	0.3777218932
199	0.3775745791
200	0.3773856338
201	0.3771704357
202	0.3769204398
203	0.3768310356
204	0.3766752641
205	0.376562416
206	0.3763648347
207	0.376235678
208	0.3760799634
209	0.3759294536
210	0.3756656899
211	0.3755431073
212	0.3753736816
213	0.3751406694
214	0.3749213383
215	0.3747630378
216	0.3746218029
217	0.3745948455
218	0.3744967609
219	0.3743532956
220	0.3741452136
221	0.3740497515
222	0.3738727831
223	0.3737891955
224	0.3736953415
225	0.3734981437
226	0.3733702774
227	0.3732219486
228	0.3730103204
229	0.372765716
230	0.3726271422
231	0.3724786295
232	0.3723371793
233	0.3721311644
234	0.3718864165
235	0.3716791393
236	0.3714983041
237	0.3714175326
238	0.3712598452
239	0.3712021779
240	0.3709782214
241	0.3707865052
242	0.3706450736
243	0.370505194
244	0.3703893914
245	0.3702713059
246	0.3701891497
247	0.3699102518
248	0.3697033095
249	0.3695425797
250	0.3694291891
251	0.3692478954
252	0.3691125268
253	0.3690227538
254	0.3688790633
255	0.3686977151
256	0.3685979647
257	0.3684249139
258	0.3683163394
259	0.3682028867
260	0.3679556926
261	0.3678338041
262	0.3676581058
263	0.3674832894
264	0.3673624802
265	0.3671487321
266	0.3670440251
267	0.3668396939
268	0.3667682202
269	0.3666451419
270	0.3664643775
271	0.3663617894
272	0.3662559725
273	0.3661178012
274	0.3659370701
